🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor
[Step 048] user:investor loss: 1.434 grad: 4.550 pred: 2.831 reward:  7.37 eps:0.21 exploit regret:    - hn:0.800 hc:0.94 | source_south_african_government_news_agency | Analytical Deep Dive | Technology to aid SA’s border management effor
[Step 049] user:investor loss: 4.867 grad:12.157 pred: 2.846 reward: 10.00 eps:0.21 explore regret:    - hn:0.801 hc:0.95 | source_universe_today | Analytical Deep Dive | Faulty Support Strut Likely Caused SpaceX Falc
[Step 050] user:investor loss: 2.119 grad: 6.119 pred: 2.861 reward:  7.33 eps:0.21 explore regret: 2.67 hn:0.802 hc:0.95 | source_times_of_india | Analytical Deep Dive | Face-off: From cricketers to comedians, many c
  └─ checkpoint step=50 rolling_reward_50=8.22 mean_regret_so_far=1.70
[Step 051] user:investor loss: 1.360 grad: 4.565 pred: 2.865 reward:  7.52 eps:0.21 exploit regret:    - hn:0.803 hc:0.95 | source_manchester_evening_news | Analytical Deep Dive | Debenhams' 'first class' heated blanket with '
[Step 052] user:investor loss: 2.995 grad: 8.926 pred: 2.877 reward: 10.00 eps:0.21 explore regret:    - hn:0.804 hc:0.95 | motor1.com | Analytical Deep Dive | 'Thank You For De-Influencing Me:' Man Buys 20
[Step 053] user:investor loss: 2.991 grad: 9.088 pred: 2.890 reward: 10.00 eps:0.21 exploit regret:    - hn:0.805 hc:0.95 | source_forbes | Analytical Deep Dive | Retail Unions Are Gaining Ground As Employee D
[Step 054] user:investor loss: 2.980 grad: 9.275 pred: 2.907 reward: 10.00 eps:0.21 exploit regret:    - hn:0.807 hc:0.95 | dazeddigital.com | Analytical Deep Dive | The rise of the deinfluencer - dazeddigital.co
[Step 055] user:investor loss: 1.335 grad: 4.660 pred: 2.904 reward:  7.84 eps:0.21 exploit regret:    - hn:0.806 hc:0.95 | source_the_business_journals | Analytical Deep Dive | The National Observer: Number of international
[Step 056] user:investor loss: 2.483 grad: 8.310 pred: 2.956 reward:  7.09 eps:0.21 exploit regret:    - hn:0.811 hc:0.95 | source_travel_and_tour_world | Analytical Deep Dive | Bulgaria Joins Slovenia, Greece, Thailand, Jap
[Step 057] user:investor loss: 1.235 grad: 4.372 pred: 2.957 reward:  7.57 eps:0.21 exploit regret:    - hn:0.811 hc:0.95 | source_harpers_wine_spirit | Analytical Deep Dive | China ups retaliatory tariffs on US goods to 8
[Step 058] user:investor loss: 2.934 grad:10.331 pred: 2.992 reward: 10.00 eps:0.21 explore regret:    - hn:0.814 hc:0.95 | source_fbt_gibbons | Analytical Deep Dive | Guide to the Federal Income Tax Treatment of S
[Step 059] user:investor loss: 6.498 grad:18.890 pred: 2.998 reward: 10.00 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_technode | Analytical Deep Dive | INSIGHTS | China’s corporate social credit sys
[Step 060] user:investor loss:10.076 grad:21.254 pred: 3.022 reward: -5.50 eps:0.21 exploit regret:15.50 hn:0.816 hc:0.95 | source_australian_architectural_design | Analytical Deep Dive | Tiny house communities around the world - Aust
[Step 061] user:investor loss: 2.221 grad: 7.477 pred: 3.025 reward:  7.69 eps:0.20 explore regret:    - hn:0.817 hc:0.95 | source_morning_consult_pro | Analytical Deep Dive | Half of Gen Alpha Is Streaming Video Daily, In
[Step 062] user:investor loss: 1.193 grad: 4.361 pred: 3.012 reward:  7.98 eps:0.20 explore regret:    - hn:0.816 hc:0.95 | source_homes_and_gardens | Analytical Deep Dive | Why cocooning furniture is a trend that's gain
[Step 063] user:investor loss: 4.154 grad:13.010 pred: 3.015 reward: 10.00 eps:0.20 exploit regret:    - hn:0.816 hc:0.95 | source_al_jazeera | Analytical Deep Dive | US, China hail ‘substantial progress’ made in 
[Step 064] user:investor loss: 6.377 grad:17.354 pred: 2.994 reward: 10.00 eps:0.20 explore regret:    - hn:0.814 hc:0.95 | source_france_24 | Analytical Deep Dive | Business - China and US embark on tit-for-tat 
