🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight ai_doom positive_rate=0.256 (sample=500)
♻️ Warm-start loaded from: outputs/ft_ai_doom_v2.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=250 | bot=ai_doom
[Step 049] user:ai_doom loss: 3.188 grad:15.520 pred: 3.258 reward:  7.15 eps:0.22 explore regret:    - hn:0.833 hc:0.96 | source_windows_central | Analytical Deep Dive | Sora 2: where your face stars in AI videos you
[Step 050] user:ai_doom loss: 3.266 grad:16.894 pred: 3.244 reward: 10.00 eps:0.22 explore regret: 0.00 hn:0.828 hc:0.96 | source_techcrunch | Analytical Deep Dive | Ghost, now OpenAI-backed, claims LLMs will ove
  └─ checkpoint step=50 rolling_reward_50=7.99 mean_regret_so_far=0.92
[Step 051] user:ai_doom loss: 8.982 grad:41.377 pred: 3.317 reward: 10.00 eps:0.22 exploit regret:    - hn:0.837 hc:0.96 | source_venturebeat | Analytical Deep Dive | Writer launches a 'super agent' that actually 
[Step 052] user:ai_doom loss: 0.866 grad: 3.700 pred: 3.223 reward:  7.73 eps:0.22 explore regret:    - hn:0.829 hc:0.96 | source_hindustan_times | Analytical Deep Dive | OpenAI brings its advanced AI video generator 
[Step 053] user:ai_doom loss: 3.255 grad:18.328 pred: 3.304 reward: 10.00 eps:0.22 exploit regret:    - hn:0.835 hc:0.96 | source_technewsworld | Analytical Deep Dive | OpenAI’s Sora 2 Found To Generate False Claim 
[Step 054] user:ai_doom loss: 0.884 grad: 3.866 pred: 3.236 reward:  7.79 eps:0.22 exploit regret:    - hn:0.830 hc:0.96 | source_abp_live_english | Analytical Deep Dive | Sora Is Now On Android, But Is It Available In
[Step 055] user:ai_doom loss: 0.888 grad: 3.855 pred: 3.239 reward:  7.56 eps:0.22 exploit regret:    - hn:0.828 hc:0.96 | source_gizmodo | Analytical Deep Dive | OpenAI Reportedly Launching ‘Operator’ That Ca
[Step 056] user:ai_doom loss: 5.959 grad:24.664 pred: 3.288 reward: 10.00 eps:0.22 exploit regret:    - hn:0.830 hc:0.96 | source_venturebeat | Analytical Deep Dive | Anthropic's Claude Opus 4.6 brings 1M token co
[Step 057] user:ai_doom loss: 3.196 grad:16.073 pred: 3.286 reward:  7.05 eps:0.22 exploit regret:    - hn:0.829 hc:0.96 | source_lapaas_voice | Analytical Deep Dive | OpenAI's Codex cross 1 Nillion download in its
[Step 058] user:ai_doom loss: 3.117 grad:12.878 pred: 3.258 reward:  7.69 eps:0.22 explore regret:    - hn:0.833 hc:0.96 | source_analytics_india_magazine | Analytical Deep Dive | Hugging Face Launches Web-based AI Agent Simil
[Step 059] user:ai_doom loss: 0.835 grad: 3.706 pred: 3.254 reward:  7.79 eps:0.21 exploit regret:    - hn:0.830 hc:0.96 | source_the_economic_times | Analytical Deep Dive | OpenAI launches Sora App: Check features and h
[Step 060] user:ai_doom loss: 0.796 grad: 3.502 pred: 3.247 reward:  7.70 eps:0.21 exploit regret: 2.30 hn:0.830 hc:0.96 | source_the_new_york_times | Analytical Deep Dive | Disney Agrees to Bring Its Characters to OpenA
[Step 061] user:ai_doom loss:10.932 grad:26.957 pred: 3.197 reward: -5.49 eps:0.21 explore regret:    - hn:0.827 hc:0.96 | androidauthority.com | Analytical Deep Dive | Good luck using Nano Banana to fake your Disne
[Step 062] user:ai_doom loss: 0.804 grad: 3.335 pred: 3.192 reward:  7.50 eps:0.21 explore regret:    - hn:0.832 hc:0.96 | source_mint | Analytical Deep Dive | OpenAI announces major Sora update: Editing, t
[Step 063] user:ai_doom loss: 0.739 grad: 3.067 pred: 3.214 reward:  7.76 eps:0.21 exploit regret:    - hn:0.827 hc:0.96 | source_mashable | Analytical Deep Dive | I tested OpenAI Sora 2 vs Google Veo 3 for AI 
[Step 064] user:ai_doom loss:11.531 grad:30.842 pred: 3.184 reward: -4.90 eps:0.21 explore regret:    - hn:0.830 hc:0.96 | source_rolling_stone | Analytical Deep Dive | SpongeBob SquarePants Cooking Meth and Fake JF
[Step 065] user:ai_doom loss: 4.728 grad:19.409 pred: 3.151 reward: 10.00 eps:0.21 exploit regret:    - hn:0.824 hc:0.96 | source_techcrunch | Analytical Deep Dive | Sora update to bring AI videos of your pets, n
[Step 066] user:ai_doom loss: 2.953 grad:15.043 pred: 3.161 reward:  7.12 eps:0.21 exploit regret:    - hn:0.822 hc:0.96 | understandingai.org | Analytical Deep Dive | Sora, OpenAI’s chart-topping AI video app, exp
[Step 067] user:ai_doom loss: 0.795 grad: 3.181 pred: 3.110 reward:  7.51 eps:0.21 exploit regret:    - hn:0.820 hc:0.96 | source_cnbc | Analytical Deep Dive | We tested OpenAI’s Sora 2 video generator to f
[Step 068] user:ai_doom loss: 4.018 grad:20.222 pred: 3.167 reward: 10.00 eps:0.21 exploit regret:    - hn:0.824 hc:0.96 | source_times_of_india | Analytical Deep Dive | OpenAI to take on TikTok with its new short-vi
[Step 069] user:ai_doom loss:10.350 grad:26.739 pred: 3.077 reward: -5.30 eps:0.21 exploit regret:    - hn:0.816 hc:0.95 | theregister.com | Analytical Deep Dive | Microsoft lets companies set ChatGPT loose on 
[Step 070] user:ai_doom loss: 6.666 grad:21.101 pred: 2.969 reward: 10.00 eps:0.21 explore regret: 0.00 hn:0.812 hc:0.95 | source_ad_age | Analytical Deep Dive | How ChatGPT’s Sora AI video app works—and what
[Step 071] user:ai_doom loss: 2.479 grad: 9.625 pred: 3.047 reward:  7.40 eps:0.21 exploit regret:    - hn:0.806 hc:0.95 | source_mashable | Analytical Deep Dive | OpenAI's Sora 2 adds tools to prevent unauthor
[Step 072] user:ai_doom loss: 1.044 grad: 4.199 pred: 2.964 reward:  7.56 eps:0.21 exploit regret:    - hn:0.805 hc:0.95 | source_phoneworld | Analytical Deep Dive | OpenAI Launches Codex Desktop App as AI Coding
[Step 073] user:ai_doom loss: 3.463 grad:11.605 pred: 2.907 reward: 10.00 eps:0.21 exploit regret:    - hn:0.799 hc:0.94 | source_the_tech_buzz | Analytical Deep Dive | Google launches Gemini 2.5 Computer Use to riv
[Step 074] user:ai_doom loss: 2.322 grad: 7.735 pred: 2.920 reward:  7.59 eps:0.21 exploit regret:    - hn:0.797 hc:0.94 | source_business_insider | Analytical Deep Dive | Don't believe those videos showing Sam Altman 
[Step 075] user:ai_doom loss: 4.075 grad:14.436 pred: 2.939 reward: 10.00 eps:0.21 explore regret:    - hn:0.804 hc:0.95 | source_the_guardian | Analytical Deep Dive | OpenAI launches Sora video generation tool in 
[Step 076] user:ai_doom loss: 4.726 grad: 8.852 pred: 2.794 reward: 10.00 eps:0.20 exploit regret:    - hn:0.790 hc:0.94 | source_the_globe_and_mail | Analytical Deep Dive | OpenAI launches Sora, an AI app that generates
[Step 077] user:ai_doom loss: 4.259 grad:11.720 pred: 2.845 reward: 10.00 eps:0.20 exploit regret:    - hn:0.797 hc:0.94 | source_venturebeat | Analytical Deep Dive | Anthropic launches enterprise ‘Agent Skills’ a
[Step 078] user:ai_doom loss: 3.289 grad: 8.810 pred: 2.791 reward:  7.07 eps:0.20 explore regret:    - hn:0.792 hc:0.94 | source_nbc_news | Analytical Deep Dive | OpenAI announces Sora 2 and an AI video and au
[Step 079] user:ai_doom loss: 2.546 grad: 5.763 pred: 2.670 reward:  7.78 eps:0.20 explore regret:    - hn:0.782 hc:0.93 | source_the_verge | Analytical Deep Dive | OpenAI’s new social video app will let you dee
[Step 080] user:ai_doom loss: 2.669 grad: 6.573 pred: 2.673 reward:  7.13 eps:0.20 exploit regret: 0.74 hn:0.780 hc:0.93 | source_mit_technology_review | Analytical Deep Dive | OpenAI launches Operator—an agent that can use
[Step 081] user:ai_doom loss: 3.019 grad: 6.202 pred: 2.529 reward:  7.55 eps:0.20 exploit regret:    - hn:0.763 hc:0.92 | source_india_today | Analytical Deep Dive | OpenAI to charge for extra Sora AI videos, to 
[Step 082] user:ai_doom loss: 1.908 grad: 5.781 pred: 2.598 reward:  7.40 eps:0.20 exploit regret:    - hn:0.775 hc:0.93 | bgr.com | Analytical Deep Dive | OpenAI Is Reportedly Building A TikTok-Style A
[Step 083] user:ai_doom loss: 5.453 grad: 7.783 pred: 2.533 reward: -4.71 eps:0.20 exploit regret:    - hn:0.765 hc:0.92 | source_mashable | Analytical Deep Dive | Beware phony Sora apps on the Apple App Store 
[Step 084] user:ai_doom loss: 1.980 grad: 5.883 pred: 2.584 reward:  7.22 eps:0.20 exploit regret:    - hn:0.772 hc:0.93 | source_lapaas_voice | Analytical Deep Dive | OpenAI Launch Codex app for AI-Assisted Coding
[Step 085] user:ai_doom loss: 1.568 grad: 5.416 pred: 2.574 reward:  7.45 eps:0.20 exploit regret:    - hn:0.771 hc:0.93 | source_cxo_digitalpulse | Analytical Deep Dive | OpenAI Launches Sora 2, Its Next-Generation AI
[Step 086] user:ai_doom loss: 2.353 grad: 5.523 pred: 2.423 reward:  7.30 eps:0.20 exploit regret:    - hn:0.752 hc:0.92 | source_indiatimes | Analytical Deep Dive | OpenAI launches Frontier enterprise platform f
[Step 087] user:ai_doom loss: 2.809 grad: 5.520 pred: 2.417 reward:  7.05 eps:0.20 exploit regret:    - hn:0.752 hc:0.92 | source_gadgets_360 | Analytical Deep Dive | OpenAI Introduces Sora 2 Video Generation AI M
[Step 088] user:ai_doom loss: 1.282 grad: 5.157 pred: 2.612 reward:  7.29 eps:0.20 exploit regret:    - hn:0.775 hc:0.93 | cepro.com | Analytical Deep Dive | OpenAI Reveals Progress on Minimal, Context-Aw
[Step 089] user:ai_doom loss: 5.171 grad:15.961 pred: 2.587 reward: 10.00 eps:0.20 explore regret:    - hn:0.775 hc:0.93 | source_compliance_week | Dystopian Warning | OCC, Fed fine Citi $136M for repeated risk man
[Step 090] user:ai_doom loss: 5.910 grad:20.982 pred: 2.666 reward: 10.00 eps:0.20 exploit regret:-2.07 hn:0.779 hc:0.93 | source_the_verge | Analytical Deep Dive | OpenAI launches its Sora app on Android - The 
[Step 091] user:ai_doom loss: 2.487 grad:10.654 pred: 2.637 reward:  7.16 eps:0.20 explore regret:    - hn:0.777 hc:0.93 | source_bankinfosecurity | Analytical Deep Dive | OpenAI Launches AI Agent 'Operator' - BankInfo
[Step 092] user:ai_doom loss: 1.098 grad: 5.044 pred: 2.672 reward:  7.41 eps:0.19 explore regret:    - hn:0.781 hc:0.93 | source_deccan_herald | Analytical Deep Dive | OpenAI Codex Mac App: Gen AI coding app for de
[Step 093] user:ai_doom loss: 4.226 grad:14.303 pred: 2.498 reward: 10.00 eps:0.19 exploit regret:    - hn:0.760 hc:0.92 | source_nbc_news | Analytical Deep Dive | OpenAI launches Sora 2 wth AI social media app
[Step 094] user:ai_doom loss: 0.934 grad: 4.833 pred: 2.784 reward:  7.56 eps:0.19 exploit regret:    - hn:0.791 hc:0.94 | source_cnbc | Analytical Deep Dive | Meta's AI app has seen growth soar since launc
[Step 095] user:ai_doom loss: 2.218 grad: 9.606 pred: 2.584 reward:  7.18 eps:0.19 exploit regret:    - hn:0.769 hc:0.93 | source_india_today | Analytical Deep Dive | OpenAI launches Sora, its own Instagram-style 
[Step 096] user:ai_doom loss: 4.115 grad:15.095 pred: 2.606 reward: 10.00 eps:0.19 exploit regret:    - hn:0.772 hc:0.93 | source_storyboard18 | Analytical Deep Dive | What is OpenAI’s Sora? New AI video app with c
[Step 097] user:ai_doom loss: 8.351 grad:30.092 pred: 2.988 reward: 10.00 eps:0.19 exploit regret:    - hn:0.811 hc:0.95 | source_the_guardian | Analytical Deep Dive | OpenAI promises more ‘granular control’ to cop
[Step 098] user:ai_doom loss: 0.865 grad: 4.165 pred: 2.878 reward:  7.81 eps:0.19 exploit regret:    - hn:0.797 hc:0.94 | source_interesting_engineering | Analytical Deep Dive | OpenAI rolls out Codex app to run multiple AI 
[Step 099] user:ai_doom loss:11.225 grad:33.077 pred: 2.978 reward: -4.83 eps:0.19 explore regret:    - hn:0.810 hc:0.95 | source_poynter | Analytical Deep Dive | Opinion | Sora 2 launched to doomsday headline
[Step 100] user:ai_doom loss: 5.485 grad:21.756 pred: 2.903 reward: 10.00 eps:0.19 explore regret: 0.00 hn:0.806 hc:0.95 | source_the_economic_times | Analytical Deep Dive | sora app: OpenAI launches Sora 2, an AI video 
  └─ checkpoint step=100 rolling_reward_50=7.02 mean_regret_so_far=0.56
[Step 101] user:ai_doom loss: 1.247 grad: 4.938 pred: 2.704 reward:  7.90 eps:0.19 exploit regret:    - hn:0.782 hc:0.93 | source_mashable | Analytical Deep Dive | Sora update: OpenAI expects copyright holders 
[Step 102] user:ai_doom loss:10.047 grad:26.677 pred: 2.923 reward: -5.31 eps:0.19 exploit regret:    - hn:0.805 hc:0.95 | source_little_black_book_lbbonline | Analytical Deep Dive | What Sora 2 Means for the Future of Filmmaking
[Step 103] user:ai_doom loss: 1.011 grad: 4.240 pred: 2.862 reward:  7.93 eps:0.19 exploit regret:    - hn:0.799 hc:0.94 | source_testingcatalog | Analytical Deep Dive | OpenAI debuts Frontier to deploy AI agents for
[Step 104] user:ai_doom loss: 1.180 grad: 4.757 pred: 2.780 reward:  7.95 eps:0.19 exploit regret:    - hn:0.790 hc:0.94 | source_adnews | Analytical Deep Dive | OpenAI launches social media app - AdNews
[Step 105] user:ai_doom loss: 0.843 grad: 3.685 pred: 2.969 reward:  7.43 eps:0.19 exploit regret:    - hn:0.808 hc:0.95 | verdict.co.uk | Analytical Deep Dive | OpenAI backed autonomous driving startup Ghost
[Step 106] user:ai_doom loss: 2.255 grad:10.057 pred: 2.935 reward:  7.97 eps:0.19 exploit regret:    - hn:0.806 hc:0.95 | source_the_indian_express | Analytical Deep Dive | OpenAI launches Sora App alongside Sora 2 for 
[Step 107] user:ai_doom loss: 2.551 grad:14.468 pred: 3.023 reward:  7.06 eps:0.19 exploit regret:    - hn:0.814 hc:0.95 | source_etv_bharat | Analytical Deep Dive | OpenAI Launches Frontier, A New Platform To Bu
[Step 108] user:ai_doom loss: 3.812 grad:16.636 pred: 2.969 reward: 10.00 eps:0.19 exploit regret:    - hn:0.809 hc:0.95 | source_venturebeat | Analytical Deep Dive | OpenAI launches a Codex desktop app for macOS 
[Step 109] user:ai_doom loss: 5.079 grad:18.947 pred: 2.962 reward: 10.00 eps:0.18 exploit regret:    - hn:0.808 hc:0.95 | source_techcrunch | Analytical Deep Dive | OpenAI’s Sora app is struggling after its stel
[Step 110] user:ai_doom loss: 7.247 grad:23.387 pred: 2.981 reward: 10.00 eps:0.18 exploit regret: 0.00 hn:0.810 hc:0.95 | source_technobezz | Analytical Deep Dive | OpenAI Launches Codex Desktop App for Mac with
[Step 111] user:ai_doom loss: 5.500 grad:18.144 pred: 2.961 reward: 10.00 eps:0.18 exploit regret:    - hn:0.808 hc:0.95 | source_cnet | Analytical Deep Dive | OpenAI's New Social Media App Will Be All AI V
[Step 112] user:ai_doom loss: 0.968 grad: 4.055 pred: 2.948 reward:  7.36 eps:0.18 explore regret:    - hn:0.810 hc:0.95 | source_the_new_york_times | Analytical Deep Dive | OpenAI to Give Away Some of the Technology Tha
[Step 113] user:ai_doom loss: 2.426 grad: 9.046 pred: 2.893 reward:  7.16 eps:0.18 explore regret:    - hn:0.803 hc:0.95 | pymnts.com | Analytical Deep Dive | AI Models and Tools: OpenAI Launches AI Agent,
[Step 114] user:ai_doom loss: 0.880 grad: 3.735 pred: 3.012 reward:  7.44 eps:0.18 exploit regret:    - hn:0.815 hc:0.95 | source_tom_s_guide | Analytical Deep Dive | OpenAI just launched Sora 2 — here’s how to jo
[Step 115] user:ai_doom loss: 0.762 grad: 3.251 pred: 3.083 reward:  7.41 eps:0.18 exploit regret:    - hn:0.819 hc:0.96 | source_send2press | Analytical Deep Dive | LumeFlow AI Launches New Features to Enhance A
[Step 116] user:ai_doom loss: 2.830 grad:17.164 pred: 3.129 reward:  7.16 eps:0.18 exploit regret:    - hn:0.824 hc:0.96 | source_tnglobal | Analytical Deep Dive | OpenAI launches AI video creation app Sora in 
